YEAR,Month,INCIDENT NAME,TOTAL VICTIMS,TOTAL VICTIMS,LOCATION,INJURED,INJURED,DEATH,DEATH,ATTACK TYPE,PERPETRATOR,TARGET
2017,dec,quetta church attack,Low,68,quetta,Low,57,Low,11,,islamic state of Iraq and the levant,pakistani christians
2017,jan,zainab murder case,Low,1,qasoor,Low,0,Low,1,kidnapping,imran ali,Zainab amin
2017,jan,naqeebullah,Low,1,karachi,Low,0,Low,1,murder,,
2017,jul,kulachi kpk,Low,6,kulachi,Low,3,Low,3,suicide bombing,tehreek e taliban,Ikramullah Khan Gandapur
2017,jul,mastung and bannu,Medium,377,mastung,Medium,223,High,154,suicide bombing,islamic state of Iraq and the levant,Nawabzada Siraj Raisani
2017,jul,pakistan general elections violence,Low,66,pakistan,Low,35,Low,31,,,
2017,jul,peshawar sucide bombing,Low,97,peshawar,Low,22,Medium,75,suicide bombing,tehreek e taliban,Haroon Bilour
2017,jul,quetta sucide bombing,Low,71,quetta,Low,40,Low,31,suicide bombing,islamic state of Iraq and the levant,
2017,nov,karachi ,Low,5,karachi,Low,1,Low,4,shooting,balochistan liberation army,
2017,nov,orakzai bombing,Low,89,orakzai,Low,56,Low,33,suicide bombing,islamic state khorasan province,
2017,jan,loralai attack,Low,31,loralai,Low,22,Low,9,bombing,,
2018,feb,balochistan attacks,Low,17,balochistan,Low,11,Low,6,shooting,Baloch Raji Ajoi Sangar,Frontier Corps
2018,apr,makran massacre,Low,14,makran,Low,0,Low,14,shooting,baloch militants,Security personnel and locals
2018,apr,quetta bombing,Low,70,quetta,Low,48,Low,22,suicide bombing,Lashkar-e-Jhangvi,Hazaras
2018,may,lahore bombing,Low,37,lahore,Low,24,Low,13,suicide bombing,jamat ul ahrar,
2018,may,pearl continental hotel balochistan,Low,14,balochistan,Low,6,Low,8,shooting,balochistan liberation army,Chinese tourists
2018,sep,namrita chandani,Low,1,ghotki ,Low,0,Low,1,,,Namrita Chandani
2018,jan,quetta bombing,Low,34,quetta,Low,19,Low,15,suicide bombing,islamic state of Iraq and the levant,Talibun run mosque
2018,feb,quetta bombing,Low,45,quetta,Low,35,Low,10,suicide bombing,,
2018,jun,pakistan stock exchange,Low,15,karachi,Low,7,Low,8,mass shooting,balochistan liberation army,Pakistan Stock Exchange
2019,aug,hayat baloch,Low,1,"turbat,kech district",Low,0,Low,1,extrajudical killing,Shadiullah,Hayat Baloch
2019,jan,machh attack,Low,11,machh,Low,,Low,11,,islamic state khorasan province,
2019,jan,usman nadeem satti,Low,1,islamabad,Low,0,Low,1,,,
2019,feb,ippi shooting,Low,5,KPK,Low,1,Low,4,mass shooting,,Aid workers
2019,mar,chaman bombing balochistan,Low,0,chaman,Low,,Low,,,,
2019,mar,janikhel kpk,Low,0,"janikhel,KPK",Low,,Low,,,,
2019,apr,quetta serena hotel,Low,16,quetta,Low,11,Low,5,suicide car bombing,tehreek e taliban,Serena Hotel
2020,jun,lahore bombing,Low,27,lahore,Low,24,Low,3,,Peter Paul David,Hafiz Saeed
